Bus stop,Line,Distance for Line 1 (Km),Distance for Line 3 (Km),Distance for Special Line (Km),Distance between 2 stations (Km),Time Between 2 stations Line 1 (mins),Time Between 2 stations Line 3 (mins),Time Between 2 stations Special Line (mins)
E1,starting point,0.000,0.000,0.000,0.000,0.00,0.00,0.00
E2,1 and 3,0.350,0.350,0.000,0.350,1.00,1.00,0.00
S1,1 and 3,0.600,0.600,0.000,0.250,2.00,2.00,0.00
C1,1 and special,0.750,0.000,0.750,0.150,3.00,0.00,2.00
C2,1,1.000,0.000,0.000,0.250,3.50,0.00,0.00
E12,1,1.400,0.000,0.000,0.400,5.00,0.00,0.00
E14,1,1.700,0.000,0.000,0.300,6.00,0.00,0.00
C6,1,1.900,0.000,0.000,0.200,6.50,0.00,0.00
C7,1,2.100,0.000,0.000,0.200,7.50,0.00,0.00
C8,1,2.300,0.000,0.000,0.200,8.00,0.00,0.00
W7,1,2.600,0.000,0.000,0.300,8.50,0.00,0.00
W1,1,2.700,0.000,0.000,0.100,9.00,0.00,0.00
W2,1,3.000,0.000,0.000,0.300,10.00,0.00,0.00
W3,1,3.200,0.000,0.000,0.200,11.00,0.00,0.00
C9,1,3.400,0.000,0.000,0.200,12.00,0.00,0.00
C10,1,3.500,0.000,0.000,0.100,12.50,0.00,0.00
C11,1,3.700,0.000,0.000,0.200,13.00,0.00,0.00
C12,1 and special,3.900,0.000,1.200,0.200,13.50,0.00,4.00
S2,3,0.000,0.800,0.000,0.200,0.00,3.00,0.00
S3,3,0.000,1.100,0.000,0.300,0.00,4.00,0.00
W4,3,0.000,1.500,0.000,0.400,0.00,5.00,0.00
W6,3,0.000,1.600,0.000,0.100,0.00,5.50,0.00
W7,3,0.000,1.900,0.000,0.300,0.00,6.00,0.00
W1,3,0.000,2.000,0.000,0.100,0.00,6.50,0.00
W8,3,0.000,2.200,0.000,0.200,0.00,7.00,0.00
N1,3,0.000,2.400,0.000,0.200,0.00,7.50,0.00
N2,3,0.000,2.600,0.000,0.200,0.00,8.00,0.00
N3,3,0.000,3.000,0.000,0.400,0.00,9.00,0.00
N9,3,0.000,3.300,0.000,0.300,0.00,11.00,0.00
N11,3,0.000,3.500,0.000,0.200,0.00,11.50,0.00
E18,3,0.000,3.700,0.000,0.200,0.00,12.00,0.00
E5,3,0.000,3.800,0.000,0.100,0.00,12.50,0.00
E13,3,0.000,3.900,0.000,0.100,0.00,13.00,0.00
E11,3,0.000,4.100,0.000,0.200,0.00,13.50,0.00
E10,3,0.000,4.200,0.000,0.100,14.00,14.00,0.00
E6,1 and 3,4.200,4.400,0.000,0.200,14.50,14.50,0.00
E5,1 and 3,4.400,4.600,0.000,0.200,15.00,15.00,0.00
E4,1 and 3,4.500,4.700,0.000,0.100,15.50,15.50,0.00
E3,1 and 3,4.600,4.800,0.000,0.100,16.00,16.00,0.00
E1 (2),ending point,5.200,5.400,2.300,0.600,17.00,17.00,7.00